"precinct","type","candidate","votes","party","office"
"CITY--1ST WARD, 1ST PRECINCT","total","Sanders","12","OTHER","President"
"CITY--1ST WARD, 1ST PRECINCT","total","Biden","87","DEM","President"
"CITY--1ST WARD, 1ST PRECINCT","total","Gabbard","4","OTHER","President"
"CITY--1ST WARD, 1ST PRECINCT","total","Write-In","3","OTHER","President"
"CITY--1ST WARD, 2ND PRECINCT","total","Sanders","28","OTHER","President"
"CITY--1ST WARD, 2ND PRECINCT","total","Biden","263","DEM","President"
"CITY--1ST WARD, 2ND PRECINCT","total","Gabbard","3","OTHER","President"
"CITY--1ST WARD, 2ND PRECINCT","total","Write-In","1","OTHER","President"
"CITY--1ST WARD, 3RD PRECINCT","total","Sanders","20","OTHER","President"
"CITY--1ST WARD, 3RD PRECINCT","total","Biden","110","DEM","President"
"CITY--1ST WARD, 3RD PRECINCT","total","Gabbard","2","OTHER","President"
"CITY--1ST WARD, 3RD PRECINCT","total","Write-In","0","OTHER","President"
"CITY--2ND WARD, 1ST PRECINCT","total","Sanders","15","OTHER","President"
"CITY--2ND WARD, 1ST PRECINCT","total","Biden","75","DEM","President"
"CITY--2ND WARD, 1ST PRECINCT","total","Gabbard","0","OTHER","President"
"CITY--2ND WARD, 1ST PRECINCT","total","Write-In","0","OTHER","President"
"CITY--2ND WARD, 2ND PRECINCT","total","Sanders","17","OTHER","President"
"CITY--2ND WARD, 2ND PRECINCT","total","Biden","97","DEM","President"
"CITY--2ND WARD, 2ND PRECINCT","total","Gabbard","1","OTHER","President"
"CITY--2ND WARD, 2ND PRECINCT","total","Write-In","1","OTHER","President"
"CITY--3RD WARD","total","Sanders","33","OTHER","President"
"CITY--3RD WARD","total","Biden","152","DEM","President"
"CITY--3RD WARD","total","Gabbard","4","OTHER","President"
"CITY--3RD WARD","total","Write-In","4","OTHER","President"
"CITY--4TH WARD","total","Sanders","58","OTHER","President"
"CITY--4TH WARD","total","Biden","176","DEM","President"
"CITY--4TH WARD","total","Gabbard","2","OTHER","President"
"CITY--4TH WARD","total","Write-In","5","OTHER","President"
"CITY--5TH WARD","total","Sanders","137","OTHER","President"
"CITY--5TH WARD","total","Biden","331","DEM","President"
"CITY--5TH WARD","total","Gabbard","5","OTHER","President"
"CITY--5TH WARD","total","Write-In","8","OTHER","President"
"CITY--6TH WARD","total","Sanders","97","OTHER","President"
"CITY--6TH WARD","total","Biden","200","DEM","President"
"CITY--6TH WARD","total","Gabbard","3","OTHER","President"
"CITY--6TH WARD","total","Write-In","1","OTHER","President"
"CITY--7TH WARD, 1ST PRECINCT","total","Sanders","40","OTHER","President"
"CITY--7TH WARD, 1ST PRECINCT","total","Biden","116","DEM","President"
"CITY--7TH WARD, 1ST PRECINCT","total","Gabbard","3","OTHER","President"
"CITY--7TH WARD, 1ST PRECINCT","total","Write-In","1","OTHER","President"
"CITY--7TH WARD, 2ND PRECINCT","total","Sanders","39","OTHER","President"
"CITY--7TH WARD, 2ND PRECINCT","total","Biden","280","DEM","President"
"CITY--7TH WARD, 2ND PRECINCT","total","Gabbard","1","OTHER","President"
"CITY--7TH WARD, 2ND PRECINCT","total","Write-In","1","OTHER","President"
"CITY--8TH WARD","total","Sanders","20","OTHER","President"
"CITY--8TH WARD","total","Biden","225","DEM","President"
"CITY--8TH WARD","total","Gabbard","2","OTHER","President"
"CITY--8TH WARD","total","Write-In","3","OTHER","President"
"CITY--9TH WARD, 1ST PRECINCT","total","Sanders","21","OTHER","President"
"CITY--9TH WARD, 1ST PRECINCT","total","Biden","99","DEM","President"
"CITY--9TH WARD, 1ST PRECINCT","total","Gabbard","0","OTHER","President"
"CITY--9TH WARD, 1ST PRECINCT","total","Write-In","1","OTHER","President"
"CITY--9TH WARD, 2ND PRECINCT","total","Sanders","22","OTHER","President"
"CITY--9TH WARD, 2ND PRECINCT","total","Biden","101","DEM","President"
"CITY--9TH WARD, 2ND PRECINCT","total","Gabbard","0","OTHER","President"
"CITY--9TH WARD, 2ND PRECINCT","total","Write-In","2","OTHER","President"
"CITY--9TH WARD, 3RD PRECINCT","total","Sanders","65","OTHER","President"
"CITY--9TH WARD, 3RD PRECINCT","total","Biden","312","DEM","President"
"CITY--9TH WARD, 3RD PRECINCT","total","Gabbard","3","OTHER","President"
"CITY--9TH WARD, 3RD PRECINCT","total","Write-In","3","OTHER","President"
"CITY--9TH WARD, 4TH PRECINCT","total","Sanders","44","OTHER","President"
"CITY--9TH WARD, 4TH PRECINCT","total","Biden","206","DEM","President"
"CITY--9TH WARD, 4TH PRECINCT","total","Gabbard","7","OTHER","President"
"CITY--9TH WARD, 4TH PRECINCT","total","Write-In","5","OTHER","President"
"CITY--9TH WARD, 5TH PRECINCT","total","Sanders","37","OTHER","President"
"CITY--9TH WARD, 5TH PRECINCT","total","Biden","233","DEM","President"
"CITY--9TH WARD, 5TH PRECINCT","total","Gabbard","2","OTHER","President"
"CITY--9TH WARD, 5TH PRECINCT","total","Write-In","2","OTHER","President"
"CITY--10TH WARD, 1ST PRECINCT","total","Sanders","78","OTHER","President"
"CITY--10TH WARD, 1ST PRECINCT","total","Biden","286","DEM","President"
"CITY--10TH WARD, 1ST PRECINCT","total","Gabbard","3","OTHER","President"
"CITY--10TH WARD, 1ST PRECINCT","total","Write-In","6","OTHER","President"
"CITY--10TH WARD, 2ND PRECINCT","total","Sanders","27","OTHER","President"
"CITY--10TH WARD, 2ND PRECINCT","total","Biden","181","DEM","President"
"CITY--10TH WARD, 2ND PRECINCT","total","Gabbard","1","OTHER","President"
"CITY--10TH WARD, 2ND PRECINCT","total","Write-In","1","OTHER","President"
"CITY--10TH WARD, 3RD PRECINCT","total","Sanders","26","OTHER","President"
"CITY--10TH WARD, 3RD PRECINCT","total","Biden","101","DEM","President"
"CITY--10TH WARD, 3RD PRECINCT","total","Gabbard","3","OTHER","President"
"CITY--10TH WARD, 3RD PRECINCT","total","Write-In","2","OTHER","President"
"CITY--10TH WARD, 4TH PRECINCT","total","Sanders","44","OTHER","President"
"CITY--10TH WARD, 4TH PRECINCT","total","Biden","293","DEM","President"
"CITY--10TH WARD, 4TH PRECINCT","total","Gabbard","4","OTHER","President"
"CITY--10TH WARD, 4TH PRECINCT","total","Write-In","1","OTHER","President"
"CITY--11TH WARD","total","Sanders","118","OTHER","President"
"CITY--11TH WARD","total","Biden","231","DEM","President"
"CITY--11TH WARD","total","Gabbard","6","OTHER","President"
"CITY--11TH WARD","total","Write-In","10","OTHER","President"
"CITY--12TH WARD","total","Sanders","139","OTHER","President"
"CITY--12TH WARD","total","Biden","326","DEM","President"
"CITY--12TH WARD","total","Gabbard","5","OTHER","President"
"CITY--12TH WARD","total","Write-In","12","OTHER","President"
"CITY--13TH WARD, 1ST PRECINCT","total","Sanders","29","OTHER","President"
"CITY--13TH WARD, 1ST PRECINCT","total","Biden","171","DEM","President"
"CITY--13TH WARD, 1ST PRECINCT","total","Gabbard","1","OTHER","President"
"CITY--13TH WARD, 1ST PRECINCT","total","Write-In","5","OTHER","President"
"CITY--13TH WARD, 2ND PRECINCT","total","Sanders","45","OTHER","President"
"CITY--13TH WARD, 2ND PRECINCT","total","Biden","185","DEM","President"
"CITY--13TH WARD, 2ND PRECINCT","total","Gabbard","2","OTHER","President"
"CITY--13TH WARD, 2ND PRECINCT","total","Write-In","1","OTHER","President"
"CITY--13TH WARD, 3RD PRECINCT","total","Sanders","33","OTHER","President"
"CITY--13TH WARD, 3RD PRECINCT","total","Biden","282","DEM","President"
"CITY--13TH WARD, 3RD PRECINCT","total","Gabbard","4","OTHER","President"
"CITY--13TH WARD, 3RD PRECINCT","total","Write-In","3","OTHER","President"
"CITY--14TH WARD","total","Sanders","69","OTHER","President"
"CITY--14TH WARD","total","Biden","368","DEM","President"
"CITY--14TH WARD","total","Gabbard","10","OTHER","President"
"CITY--14TH WARD","total","Write-In","10","OTHER","President"
"CITY--15TH WARD","total","Sanders","24","OTHER","President"
"CITY--15TH WARD","total","Biden","97","DEM","President"
"CITY--15TH WARD","total","Gabbard","1","OTHER","President"
"CITY--15TH WARD","total","Write-In","3","OTHER","President"
"BERRYSBURG BOROUGH","total","Sanders","3","OTHER","President"
"BERRYSBURG BOROUGH","total","Biden","8","DEM","President"
"BERRYSBURG BOROUGH","total","Gabbard","1","OTHER","President"
"BERRYSBURG BOROUGH","total","Write-In","2","OTHER","President"
"DAUPHIN BOROUGH","total","Sanders","18","OTHER","President"
"DAUPHIN BOROUGH","total","Biden","66","DEM","President"
"DAUPHIN BOROUGH","total","Gabbard","1","OTHER","President"
"DAUPHIN BOROUGH","total","Write-In","1","OTHER","President"
"ELIZABETHVILLE BOROUGH","total","Sanders","11","OTHER","President"
"ELIZABETHVILLE BOROUGH","total","Biden","57","DEM","President"
"ELIZABETHVILLE BOROUGH","total","Gabbard","7","OTHER","President"
"ELIZABETHVILLE BOROUGH","total","Write-In","0","OTHER","President"
"GRATZ BOROUGH","total","Sanders","2","OTHER","President"
"GRATZ BOROUGH","total","Biden","23","DEM","President"
"GRATZ BOROUGH","total","Gabbard","1","OTHER","President"
"GRATZ BOROUGH","total","Write-In","0","OTHER","President"
"HALIFAX BOROUGH","total","Sanders","8","OTHER","President"
"HALIFAX BOROUGH","total","Biden","31","DEM","President"
"HALIFAX BOROUGH","total","Gabbard","1","OTHER","President"
"HALIFAX BOROUGH","total","Write-In","0","OTHER","President"
"HIGHSPIRE BOROUGH","total","Sanders","47","OTHER","President"
"HIGHSPIRE BOROUGH","total","Biden","187","DEM","President"
"HIGHSPIRE BOROUGH","total","Gabbard","6","OTHER","President"
"HIGHSPIRE BOROUGH","total","Write-In","1","OTHER","President"
"HUMMELSTOWN--1ST PRECINCT","total","Sanders","51","OTHER","President"
