"precinct","type","candidate","votes","party","office"
"Lancaster City - 1st Ward","total","Sanders",50,"OTHER","President"
"Lancaster City - 1st Ward","total","Biden",114,"DEM","President"
"Lancaster City - 1st Ward","total","Gabbard",2,"OTHER","President"
"Lancaster City - 2nd Ward - 1st Precinct","total","Sanders",87,"OTHER","President"
"Lancaster City - 2nd Ward - 1st Precinct","total","Biden",175,"DEM","President"
"Lancaster City - 2nd Ward - 1st Precinct","total","Gabbard",3,"OTHER","President"
"Lancaster City - 2nd Ward - 1st Precinct","total","Write-In",7,"OTHER","President"
"Lancaster City - 2nd Ward - 2nd Precinct","total","Sanders",79,"OTHER","President"
"Lancaster City - 2nd Ward - 2nd Precinct","total","Biden",125,"DEM","President"
"Lancaster City - 2nd Ward - 2nd Precinct","total","Gabbard",4,"OTHER","President"
"Lancaster City - 2nd Ward - 2nd Precinct","total","Write-In",1,"OTHER","President"
"Lancaster City - 3rd Ward","total","Sanders",57,"OTHER","President"
"Lancaster City - 3rd Ward","total","Biden",110,"DEM","President"
"Lancaster City - 3rd Ward","total","Gabbard",10,"OTHER","President"
"Lancaster City - 4th Ward - 1st Precinct","total","Sanders",25,"OTHER","President"
"Lancaster City - 4th Ward - 1st Precinct","total","Biden",47,"DEM","President"
"Lancaster City - 4th Ward - 1st Precinct","total","Write-In",1,"OTHER","President"
"Lancaster City - 4th Ward - 2nd Precinct","total","Sanders",29,"OTHER","President"
"Lancaster City - 4th Ward - 2nd Precinct","total","Biden",34,"DEM","President"
"Lancaster City - 4th Ward - 2nd Precinct","total","Gabbard",3,"OTHER","President"
"Lancaster City - 4th Ward - 2nd Precinct","total","Write-In",1,"OTHER","President"
"Lancaster City - 5th Ward - 1st Precinct","total","Sanders",110,"OTHER","President"
"Lancaster City - 5th Ward - 1st Precinct","total","Biden",163,"DEM","President"
"Lancaster City - 5th Ward - 1st Precinct","total","Gabbard",3,"OTHER","President"
"Lancaster City - 5th Ward - 1st Precinct","total","Write-In",3,"OTHER","President"
"Lancaster City - 5th Ward - 2nd Precinct","total","Sanders",80,"OTHER","President"
"Lancaster City - 5th Ward - 2nd Precinct","total","Biden",111,"DEM","President"
"Lancaster City - 5th Ward - 2nd Precinct","total","Gabbard",5,"OTHER","President"
"Lancaster City - 5th Ward - 3rd Precinct","total","Sanders",85,"OTHER","President"
"Lancaster City - 5th Ward - 3rd Precinct","total","Biden",168,"DEM","President"
"Lancaster City - 5th Ward - 3rd Precinct","total","Gabbard",3,"OTHER","President"
"Lancaster City - 5th Ward - 3rd Precinct","total","Write-In",8,"OTHER","President"
"Lancaster City - 6th Ward - 1st Precinct","total","Sanders",97,"OTHER","President"
"Lancaster City - 6th Ward - 1st Precinct","total","Biden",120,"DEM","President"
"Lancaster City - 6th Ward - 1st Precinct","total","Gabbard",1,"OTHER","President"
"Lancaster City - 6th Ward - 1st Precinct","total","Write-In",2,"OTHER","President"
"Lancaster City - 6th Ward - 2nd Precinct","total","Sanders",43,"OTHER","President"
"Lancaster City - 6th Ward - 2nd Precinct","total","Biden",80,"DEM","President"
"Lancaster City - 6th Ward - 2nd Precinct","total","Gabbard",7,"OTHER","President"
"Lancaster City - 6th Ward - 2nd Precinct","total","Write-In",5,"OTHER","President"
"Lancaster City - 6th Ward - 3rd Precinct","total","Sanders",83,"OTHER","President"
"Lancaster City - 6th Ward - 3rd Precinct","total","Biden",107,"DEM","President"
"Lancaster City - 6th Ward - 3rd Precinct","total","Gabbard",1,"OTHER","President"
"Lancaster City - 6th Ward - 3rd Precinct","total","Write-In",5,"OTHER","President"
"Lancaster City - 6th Ward - 4th Precinct","total","Sanders",71,"OTHER","President"
"Lancaster City - 6th Ward - 4th Precinct","total","Biden",119,"DEM","President"
"Lancaster City - 6th Ward - 4th Precinct","total","Gabbard",4,"OTHER","President"
"Lancaster City - 6th Ward - 4th Precinct","total","Write-In",3,"OTHER","President"
"Lancaster City - 6th Ward - 5th Precinct","total","Sanders",95,"OTHER","President"
"Lancaster City - 6th Ward - 5th Precinct","total","Biden",115,"DEM","President"
"Lancaster City - 6th Ward - 5th Precinct","total","Gabbard",6,"OTHER","President"
"Lancaster City - 6th Ward - 6th Precinct","total","Sanders",17,"OTHER","President"
"Lancaster City - 6th Ward - 6th Precinct","total","Biden",67,"DEM","President"
"Lancaster City - 6th Ward - 6th Precinct","total","Gabbard",5,"OTHER","President"
"Lancaster City - 6th Ward - 6th Precinct","total","Write-In",1,"OTHER","President"
"Lancaster City - 6th Ward - 7th Precinct","total","Sanders",71,"OTHER","President"
"Lancaster City - 6th Ward - 7th Precinct","total","Biden",137,"DEM","President"
"Lancaster City - 6th Ward - 7th Precinct","total","Gabbard",5,"OTHER","President"
