"warddiv","n_apps","n_req","n_mailed","n_ret","n_reg","turnout_16"
"01-01",282.59891485254,282.59891485254,276.277947540111,196.109137207909,465,386
"01-02",355.119519339591,355.119519339591,345.709250382797,260.144947074096,634,476
"01-03",360.861743559017,360.861743559017,353.362682244857,268.211034551628,662,546
"01-04",319.491957925571,319.491957925571,312.299553957792,252.087757140004,606,483
"01-05",158.460345516277,158.460345516277,155.204823247454,113.733133612942,354,240
"01-06",239.681599094601,239.681599094601,229.657036815125,166.630707010186,489,334
"01-07",233.659103921177,233.659103921177,229.12320085214,160.048751747553,467,274
"01-08",302.152443246122,302.152443246122,292.666829771653,202.497014180148,566,369
"01-09",297.208511417349,297.208511417349,286.595822515145,208.342800079888,537,422
"01-10",331.423583649557,331.423583649557,322.798645230011,244.149630517276,616,440
"01-11",425.869575927035,425.869575927035,403.136116104121,294.917425604154,673,546
"01-12",249.418700485986,249.418700485986,237.974409160509,170.282414619533,511,330
"01-13",396.474049663804,396.474049663804,383.317931562479,285.186708607949,708,397
"01-14",330.967811730244,330.967811730244,311.54167498835,219.140153784701,596,446
"01-15",421.494540975967,421.494540975967,411.928836295852,288.92756141402,772,614
"01-16",248.442141002596,248.442141002596,238.884511683643,182.079109247054,487,338
"01-17",305.830710338859,305.830710338859,298.240969309633,214.071779508688,607,449
"01-18",284.203205512283,284.203205512283,279.208138605952,202.237068104653,636,499
"01-19",299.417106051528,299.417106051528,291.793898542041,193.805911723587,628,444.71760391198
"01-20",379.270577857666,379.270577857666,368.772581718927,289.404643499101,656,505
"01-21",338.734887823713,338.734887823713,329.134095599494,223.18808667865,682,413.28239608802
"02-01",486.210263763057,486.210263763057,469.927521957166,349.966735932175,844,627
"02-02",269.702492820978,269.702492820978,258.234132606795,194.692290287989,483,355
"02-03",289.536037881487,289.536037881487,278.710545605683,194.822416901469,536,356
"02-04",378.802607845189,378.802607845189,362.764953749492,273.763296117847,622,446
"02-05",327.203273517145,327.203273517145,314.352923742232,240.551661070988,594,421
"02-06",351.183496570622,351.183496570622,340.042276208829,271.132257199714,621,503
"02-07",493.041158360204,493.041158360204,471.790581069665,359.595139364653,808,571
"02-08",332.559364582494,332.559364582494,321.925546045808,240.784970647252,587,403
