"WARD16","DIV16","district","high_projection","low_projection","primary_2011","primary_2015","typical_turnout_governor","general_2018","typical_turnout_da","primary_2017"
"01","01",1,129.294117647059,59.2914527876402,84,152,204,314,55.6666666666667,138
"01","02",1,179.070198675497,78.5552703835203,111,195,251.666666666667,406,82,177
"01","03",1,166.844262295082,95.5411961328084,115,250,325.333333333333,472,102,205
"01","04",1,193.26375,79.3678345472282,123,191,266.666666666667,419,67,150
"01","05",1,85.6818181818182,50.9025068643442,58,101,132,195,50.6666666666667,62
"01","06",1,144.334106728538,84.9924495649806,72,96,143.666666666667,288,40,92
"01","07",1,125.831295843521,68.2009967773404,73,76,136.333333333333,235,43.6666666666667,71
"01","08",1,87.6940726577438,54.4718514985763,49,96,174.333333333333,312,46,126
"01","09",1,180.695716395864,87.5899427006363,121,172,225.666666666667,337,57,147
"01","10",1,181.04368174727,96.0341590074525,101,158,213.666666666667,383,62,163
"01","11",1,201.978260869565,97.6246150177523,133,261,322,489,86.3333333333333,239
"01","12",1,101.10407239819,67.7703414115724,56,97,147.333333333333,266,37.3333333333333,91
"01","13",1,156.75,73.7703414115724,68,125,181.333333333333,418,45.3333333333333,130
"01","14",1,146.001818181818,64.3190879794003,71,136,183.333333333333,377,37.6666666666667,125
"01","15",1,239.070422535211,107.041196132808,138,228,307.666666666667,533,85.3333333333333,220
"01","16",1,140.818713450292,66.5135609410483,80,101,171,301,52,107
"01","17",1,170.725034199726,75.9371791814603,100,208,243.666666666667,416,65.6666666666667,130
"01","18",1,151.492610837438,83.8537602965164,102,233,270.666666666667,402,101,163
"01","19",1,187.830324909747,101.048233258164,141,243,277,369,103,173
"01","20",1,214.615384615385,131.485412439625,150,235,303.333333333333,434,120,234
"01","21",1,180.836956521739,102.388432613632,131,231,276,381,89.6666666666667,135
"02","01",1,289.629213483146,117.048233258164,173,265,356,596,93,222
"02","02",1,136.5,74.7356690944564,78,132,184,322,42.6666666666667,124
"02","03",1,132.144288577154,53.4442163068162,70,123,166.333333333333,314,39.6666666666667,133
"02","04",1,190.0485021398,102.721594843745,104,169,233.666666666667,427,63.3333333333333,164
"02","05",1,183.879310344828,77.6316521431083,108,183,232,395,70.3333333333333,170
"02","06",1,211.421254801536,91.0899427006363,128,213,260.333333333333,430,69.6666666666667,201
"02","07",1,266.864583333333,89.8261251047562,137,198,288,561,83.3333333333333,209
"02","08",1,198.901140684411,66.5969798259922,94,133,175.333333333333,371,50.3333333333333,131
"02","09",2,204.781163434903,91.8120508540444,111,158,240.666666666667,444,65.6666666666667,161
"02","10",1,196.469893742621,91.0135609410483,129,177,282.333333333333,430,71.3333333333333,183
"02","11",1,232.488188976378,94.7427062198123,133,152,254,444,65.6666666666667,192
"02","12",1,239.498327759197,106.395469738988,154,174,299,465,72,185
"02","13",1,82.6923076923077,63.5758684499245,43,68,104,200,24.6666666666667,63
"02","14",1,211.985294117647,125.916067805393,155,213,317.333333333333,434,86.6666666666667,155
"02","15",1,224.756295694557,113.235669094456,155,237,410.333333333333,595,81,224
"02","16",1,356.163250366032,162.812050854044,253,282,455.333333333333,641,122,325
"02","17",1,211.260188087774,105.430142056104,144,187,319,468,74,185
"02","18",1,217.423255813953,103.471851498576,147,167,286.666666666667,424,71.3333333333333,173
"02","19",2,222.940461725395,107.541196132808,139,208,274.333333333333,440,72.6666666666667,182
"02","20",2,95.6039603960396,21.034672317116,34,99,101,284,16.3333333333333,88
"02","21",2,125.669626998224,60.0135609410483,67,135,187.666666666667,352,48.6666666666667,122
"02","22",2,296.4,131.312050854044,190,239,400,624,109,236
"02","23",1,281.32981530343,123.360797421872,196,252,379,544,81,241
"02","24",1,271.801820020222,118.930142056104,171,232,329.666666666667,524,94.3333333333333,228
"02","25",1,273.623188405797,107.089942700636,160,198,345,590,66.3333333333333,209
"02","26",1,306.283018867925,143.534159007453,196,271,494.666666666667,773,115,275
"02","27",1,334.056406124093,120.708033902696,193,276,413.666666666667,716,86.3333333333333,273
"03","01",3,129.03084365685,102.595953206665,89,152,239.333333333333,301,73,68
"03","02",3,114.574076247366,96.8321356107851,77,132,253.333333333333,327,62.6666666666667,82
"03","03",3,177.255073398552,153.31754805041,124,213,309.666666666667,384,82.3333333333333,116
"03","04",3,229.939136155641,143.519058137414,149,221,310,415,114.333333333333,117
"03","05",3,131.326744405873,121.040169513481,97,127,235,276,66.3333333333333,77
"03","06",3,124.733204642187,115.852733677189,86,184,275,346,82,96
"03","07",3,151.259811301226,134.873331743593,117,169,249.666666666667,280,89.3333333333333,92
"03","08",3,175.222802861164,134.873331743593,130,168,279.666666666667,327,90.3333333333333,112
"03","09",3,206.62683891332,153.31754805041,149,234,335,403,118.666666666667,131
"03","10",3,146.772195865258,130.262277666889,112,197,275.333333333333,313,76.6666666666667,105
"03","11",3,206.64957177888,167.72709204011,151,233,327.666666666667,389,94.6666666666667,153
"03","12",3,131.539267150473,130.838659426477,101,180,287.666666666667,325,80,100
"03","13",3,121.668520120245,106.054243764193,91,149,244,283,61.6666666666667,69
"03","14",3,166.756181589467,141.213531099062,127,245,311.666666666667,355,80.6666666666667,127
"03","15",3,163.835029642892,142.942676377826,122,189,291,339,84.3333333333333,128
"03","16",3,168.003964244867,154.470311569586,120,224,331,402,92.3333333333333,130
"03","17",3,191.646935063012,141.213531099062,133,232,320,400,103.666666666667,146
"03","18",3,191.276658855227,147.55373045453,135,225,323,397,100,120
"03","19",3,195.224641730952,180.407490751046,151,247,362,406,118.333333333333,139
"03","20",3,129.970244242032,115.852733677189,84,161,225,302,60.6666666666667,96
"03","21",3,91.8088220382401,82.9989733806729,69,123,196.666666666667,227,38.6666666666667,44
"03","22",3,156.273800474397,102.019571447077,97,127,219.666666666667,307,41,79
"04","01",4,141.757678459312,118.734642475129,104,175,250.333333333333,296,64.3333333333333,101
"04","02",4,204.466972653849,163.692419722994,155,205,323.333333333333,370,84.6666666666667,113
"04","03",4,177.547062018681,138.90800406071,137,200,322,362,73.6666666666667,120
"04","04",4,110.812575199025,96.2557538511971,85,115,211.333333333333,239,52.3333333333333,59
"04","05",4,160.792006397695,117.581878955953,114,193,280.333333333333,343,57.6666666666667,109
"04","06",4,174.046332058866,134.873331743593,128,180,293.333333333333,346,75,83
"04","07",4,188.914593683699,138.90800406071,137,222,316,378,74.3333333333333,119
"04","08",4,170.770153799017,133.720568224417,120,209,295.666666666667,365,80,116
"04","09",4,173.69232962211,130.262277666889,118,197,275.666666666667,352,71.6666666666667,119
"04","10",4,166.991946442552,129.685895907301,112,186,278.333333333333,360,71,102
"04","11",4,179.222568592923,157.928602127114,140,198,310.666666666667,345,82.6666666666667,105
"04","12",4,121.705225389929,91.068318014905,75,158,216.666666666667,305,43.3333333333333,77
"04","13",4,166.719486835519,152.741166290822,125,221,316.333333333333,366,80,121
"04","14",4,116.846874423291,100.290426168313,80,183,244.666666666667,310,55.3333333333333,79
"04","15",4,180.457610904054,114.123588398425,114,168,276,379,57.6666666666667,87
"04","16",4,137.85869367787,102.595953206665,88,197,273,371,50.6666666666667,91
"04","17",4,140.264078025934,115.276351917601,104,199,286.333333333333,335,71.6666666666667,110
"04","18",4,168.476328722429,136.602477022358,123,211,322.333333333333,383,70.3333333333333,107
"04","19",4,117.193306983197,104.325098485429,91,127,207.666666666667,232,52.6666666666667,61
"04","20",4,147.396209973648,112.394443119661,94,177,268.333333333333,365,51.3333333333333,90
"04","21",4,205.062514589749,170.60900083805,149,224,326.666666666667,390,102.666666666667,155
"05","01",1,358.66646778043,157.7286319691,229,349,558.666666666667,875,150.666666666667,337
"05","02",1,264.490384615385,118.777378536928,173,215,381.333333333333,583,105.666666666667,182
"05","03",1,297.750631844987,160.332648920449,210,250,395.666666666667,561,164,245
"05","04",1,323.065433854907,146.805013728688,206,253,468.666666666667,735,133,295
"05","05",1,216.65859030837,115.20099677734,167,261,454,589,115.666666666667,269
"05","06",1,241.001500375094,114.20099677734,165,218,444.333333333333,649,101.333333333333,270
"05","07",1,187.058823529412,91.5482332581643,122,165,345.666666666667,530,83,189
"05","08",1,283.940425531915,137.617577892396,198,256,470,674,135,278
"05","09",1,250.201310227632,80.8881292763031,123,206,351.988564407901,716,92.1484736792364,211
"05","10",1,286.194174757282,54.0276351917601,85,106,171.666666666667,578,55.3333333333333,113
"05","11",1,226.237691001698,94.8190879794003,132,226,392.666666666667,673,92,210
"05","12",1,245.643002028398,115.270341411572,151,253,493,802,87.6666666666667,271
"05","13",1,43.8149408643633,19.5259608817549,29,43,92.6624553156065,140,39.0254570104537,31
"05","14",1,187.5,89.0135609410483,125,151,317.333333333333,476,83.6666666666667,184
"05","15",5,141.305742724745,61.2715886373601,94,148,253.333333333333,439,61.3333333333333,152
"05","16",1,131.348657139468,66.1561526165295,104,171,363.429676706272,459,102.311319885788,183
"05","17",5,202.286429560999,101.27203392354,177,274,454.666666666667,599,78.6666666666667,319
"05","18",1,397.077429983526,185.686922526629,278,348,607,867,185.666666666667,345
"05","19",1,361.085950413223,178.117577892396,279,387,605,783,167.333333333333,324
"05","20",5,140.218521229888,54.5366274187491,90,115,199.333333333333,358,53.3333333333333,111
"05","21",1,217.302966101695,117.166324460224,179,249,472,573,76.6666666666667,325
"05","22",1,220.031042128603,128.679885401273,149,188,300.666666666667,444,117.666666666667,167
"05","23",5,265.131800063201,113.898448744443,160,237,404.666666666667,773,97.3333333333333,248
"05","24",1,182.689995357564,65.5556937578111,85,153,315.917682777533,679,NA,185
"05","25",1,139.824780581192,53.3053788016004,81,130,241.566622594388,417,32.3368660883172,150
"05","26",1,208.703435550542,88.4237729542543,127,196,357.809155383623,588,NA,240
"05","27",1,189.601301515229,81.7053759543029,117,211,390.614407222577,633,NA,229
"05","28",1,201.00349349561,39.9884791276938,56,91,178.305358661752,640,NA,116
"05","29",1,25.5628074522566,21.2339323630436,13,23,111.372743597014,219,NA,43
"05","30",NA,NA,NA,NA,NA,NA,482,NA,NA
"05","31",NA,NA,NA,NA,NA,NA,245,NA,NA
"05","32",NA,NA,NA,NA,NA,NA,678,NA,NA
"05","33",NA,NA,NA,NA,NA,NA,434,NA,NA
"05","34",NA,NA,NA,NA,NA,NA,402,NA,NA
"06","01",3,167.859376378376,96.2557538511971,85,140,244,418,58,153
"06","02",3,168.515824974283,62.8256117950927,101,118,152,220,47.6666666666667,121
"06","03",3,182.169614960138,108.936152562133,82,141,256.333333333333,494,60.3333333333333,123
"06","04",3,147.684231985002,90.491936255317,97,190,265,350,62,107
"06","05",3,76.0588664795112,77.2351557847929,53,93,147,183,50,60
"06","06",3,124.864632012395,93.373845053257,93,168,226.666666666667,264,63,106
"06","07",3,147.40466620636,87.033645697789,91,177,232,326,50.3333333333333,100
"06","08",3,86.3189323158998,65.7075205930327,54,103,150,208,31,56
"06","09",3,57.7284955747361,64.5547570738567,46,90,161.666666666667,176,37.6666666666667,59
"06","10",3,111.500057630645,75.5060105060288,70,86,135.333333333333,187,46.3333333333333,54
"06","11",3,154.950089412212,120.463787753893,104,178,296.333333333333,383,66.6666666666667,109
"06","12",3,104.901480245017,57.6381759588006,56,107,152,247,28.3333333333333,65
"06","13",3,94.8112162618921,82.4225916210849,63,103,187.666666666667,245,43,64
"06","14",3,95.2966827766891,54.1798854012726,55,96,163.666666666667,246,37,58
"06","15",3,127.556485517712,97.4085173703731,93,125,216,257,47,74
"06","16",3,95.1117677192229,69.1658111505608,63,124,197,258,51.6666666666667,73
"06","17",3,162.552576342887,122.192933032657,112,160,267.666666666667,337,63,94
"06","18",3,157.236944015608,120.463787753893,108,206,270,341,95.6666666666667,142
"07","01",7,48.2654867256637,44.5,36,92,150.666666666667,202,11,29
"07","02",7,26.6949152542373,24,21,34,98.3333333333333,125,5.66666666666667,16
"07","03",7,20.8988764044944,23,15,29,89,124,5.33333333333333,8
"07","04",7,53.5458167330677,51.5,35,83,167.333333333333,256,18.6666666666667,46
"07","05",7,97.6309226932669,89,75,113,267.333333333333,348,33.3333333333333,41
"07","06",7,70.2569169960474,53.5,50,81,168.666666666667,237,25.3333333333333,31
"07","07",7,32.7371134020619,36,29,63,129.333333333333,146,14.3333333333333,24
"07","08",7,91.2780269058296,55,59,107,148.666666666667,230,26.3333333333333,39
"07","09",7,58.7508532423208,32,38,59,97.6666666666667,151,11.6666666666667,23
"07","10",7,46.9083769633508,40.5,33,48,127.333333333333,181,21.3333333333333,20
"07","11",7,43.8399168399168,50,33,59,160.333333333333,213,16,21
"07","12",7,51.3870967741935,49,36,74,165.333333333333,236,15.3333333333333,24
"07","13",7,53.2241379310345,26,21,35,77.3333333333333,196,14.3333333333333,4
"07","14",7,97.3022727272727,61,71,72,146.666666666667,201,25.6666666666667,27
"07","15",7,42.580985915493,43,29,45,94.6666666666667,139,15,21
"07","16",7,49.875,47,38,47,106.666666666667,140,8.33333333333333,18
"07","17",7,23.3571428571429,46.5,31,79,144.666666666667,109,16.6666666666667,54
"07","18",7,33.8461538461538,38.5,30,58,156,176,9,19
"07","19",7,43.7717121588089,47.5,42,46,134.333333333333,140,14,9
"07","20",7,44.1455696202532,38.5,31,64,105.333333333333,150,19.6666666666667,19
"07","21",7,53.1073170731707,34.5,38,86,136.666666666667,191,18.6666666666667,33
"07","22",7,45.7307692307692,36.5,29,42,104,164,13.6666666666667,22
"07","23",7,27.3498233215548,33.5,20,31,94.3333333333333,129,15.3333333333333,18
"08","01",2,204.74801061008,110.353760296516,155,185,377,498,115.333333333333,226
"08","02",2,188.987613542527,101.589942700636,149,216,403.666666666667,512,109.666666666667,225
"08","03",2,261.243016759777,133.839686045805,172,237,477.333333333333,725,131,251
"08","04",2,221.212439418417,114.999486690336,147,201,412.666666666667,621,109.666666666667,218
"08","05",2,222.47792706334,56.0623075088762,81,156,347.333333333333,954,50.6666666666667,197
"08","06",2,191.8,92.1316521431083,137,242,365,511,95.6666666666667,214
"08","07",2,282.556701030928,159.401993554681,192,270,388,571,156,242
"08","08",5,216.077742154422,103.567150267707,165,209,416,628,118.666666666667,233
"08","09",2,252.33855799373,101.05527038352,156,217,425.333333333333,688,99.3333333333333,235
"08","10",5,207.905125281132,92.1634875258317,156,315,454.333333333333,698,124.333333333333,263
"08","11",5,142.196345135101,42.2955616303465,71,135,225.666666666667,521,41.3333333333333,123
